Degree,Chi2_A_avg,Chi2_A_std,Chi2_A_var_theory,Chi2_B_avg,Chi2_B_std,Chi2_B_var_theory,Prior,Posterior
1,1099.9319116215604,80.70105927356553,598,1111.329404384766,85.57791786369135,606,0.10014869172595255,0.0
2,349.98113232450373,31.06348762279704,596,354.6091164392447,28.570335021276172,612,0.09061828364099017,3.1748985321772255e-124
3,295.30366265416507,24.430531918102677,594,303.4164994227503,25.06646550584919,618,0.08199481379656379,0.9400257707675412
4,294.26775707311026,24.292806103567294,592,303.89421344013635,24.89415577670623,624,0.07419197560802206,0.059855931149879686
5,293.2409202984464,24.229125724642135,590,304.99823266691334,24.795137193399572,630,0.06713167564814956,0.00011747853752800505
6,292.21230411619894,24.46094028166446,588,305.8744331844945,24.517543466579426,636,0.06074325206189915,8.174831437699246e-07
7,291.14035246734676,24.552130439534952,586,306.93350981541397,24.378202791196028,642,0.0549627673587963,2.0595164508562552e-09
8,290.22238385552856,24.309303045787697,584,308.13317803152154,24.865556552731228,648,0.049732368505044366,2.375963593579832e-12
9,289.38870087470923,24.465305283151526,582,309.029112761789,25.458296340890954,654,0.044999707910917223,1.4816526151305072e-14
10,288.2869074773623,24.384216326489973,580,310.0816763799192,26.309265392313186,660,0.04071741951848668,3.870322045050147e-17
11,287.53425928388896,24.606532792449325,578,310.89931899236336,26.25513230220589,666,0.036842644746194475,3.7286601026834986e-19
12,286.3240287225555,24.657262308457426,576,312.27323768290165,26.94785065180514,672,0.03333660354576271,1.6338229097527607e-22
13,285.1729717865561,24.771967171513058,574,314.124652723088,26.67380653563818,678,0.030164206278436353,5.044048154900699e-27
14,284.1976793375204,24.785112131488052,572,316.36943326335603,29.095113943834154,684,0.027293702526084426,1.750902603686427e-32
15,283.22851644538315,24.76883170993345,570,319.06669763841006,30.84173948931112,690,0.024696363322343783,4.920573042772224e-39
16,282.2035773880826,24.67067710249552,568,321.27915487393676,35.90195338016678,696,0.02234619362346752,2.0440259634599306e-44
17,281.0932450684767,24.547377221590846,566,322.6650409230271,33.79957451013205,702,0.020219672141189974,8.380392969470776e-48
18,280.8895980199263,24.503667102998055,564,324.3265848239902,39.384296512662786,708,0.01829551593376796,7.429330368569001e-52
19,279.8522207136889,24.17970418553299,562,324.5831369004353,35.39432066173984,714,0.016554467399146358,1.61631103821871e-52
20,279.81754991905024,24.161873405483284,560,324.3285840117714,34.300251841040186,720,0.01497910153840406,6.0154377942250384e-52
21,278.8699382968583,23.995627944236396,558,324.35518221081315,29.9076276240805,726,0.013553651560507998,4.695296946581831e-52
22,278.82932529053915,24.004026943336783,556,324.4975734375501,29.792959351392092,732,0.01226385108296911,1.926103378767121e-52
23,278.79478747656185,24.023731690903748,554,325.0676975632622,29.617319809367533,738,0.011096791349091275,7.339809725541492e-54
24,277.912919971077,24.059435397156225,552,327.19429620939513,30.36272895952835,744,0.010040792032795521,4.912590804244824e-59
25,277.8666107908242,24.02678976120491,550,328.5937418114174,32.291932179776865,750,0.009085284337990737,1.8679824623874195e-62
26,277.84712469151776,23.997323940776152,548,329.1555148694856,34.31462959329891,756,0.00822070522251008,7.456362565846253e-64
27,277.83117701225825,23.970530582442063,546,329.9434183359766,36.830664237845106,762,0.007438401687970748,8.473947095905728e-66
28,277.1224316081836,24.03712068797181,544,342.5548216357384,115.96154003547102,768,0.0067305441776577745,2.8610753010435973e-96
29,277.08823563527557,23.996089730269492,542,346.2620154687487,117.23987656947196,774,0.006090048215688821,2.941565951162498e-105
30,277.0688854365642,23.96402145815252,540,346.166398632989,110.06302809349967,780,0.005510503503198377,4.5273950009503714e-105
